127.0.0.1 - - [21/Dec/2020:00:18:24 +0900] "GET / HTTP/1.1" 200 278
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:18:38 +0900] "GET /dealight/search/ HTTP/1.1" 200 34401
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:02 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:02 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:02 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:02 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:02 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:02 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:04 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:54 +0900] "GET /dealight/search/ HTTP/1.1" 200 34421
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:54 +0900] "GET /resources/icon/menu.png HTTP/1.1" 200 3715
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:54 +0900] "GET /resources/icon/bell.png HTTP/1.1" 200 6803
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:54 +0900] "GET /resources/icon/logo.png HTTP/1.1" 200 106132
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:54 +0900] "GET /resources/icon/account.png HTTP/1.1" 200 32927
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:55 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true HTTP/1.1" 200 3704
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:55 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:56 +0900] "GET /resources/icon/favicon.png HTTP/1.1" 200 3983
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:19:58 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:20:16 +0900] "GET /dealight/store/htdl/get/16.json HTTP/1.1" 200 745
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:20:30 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=H&sortPriority=&openStore=true HTTP/1.1" 200 3288
0:0:0:0:0:0:0:1 - - [21/Dec/2020:00:20:33 +0900] "GET /dealight/store/htdl/get/17.json HTTP/1.1" 200 644
