127.0.0.1 - - [03/Jan/2021:12:26:50 +0900] "GET / HTTP/1.1" 200 15304
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /resources/css/main_header.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /resources/css/main_footer.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /resources/css/alert_manager.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /resources/css/selectbox.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /dealight/search/ HTTP/1.1" 200 55648
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /resources/css/map.css HTTP/1.1" 200 10522
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:12 +0900] "GET /resources/icon/d2.png HTTP/1.1" 200 33881
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:13 +0900] "GET /dealight/isCurWait/.json HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:14 +0900] "GET /dealight/getlist?pageNum=1&amount=10&lat=37.570414&lng=126.985320&distance=0.5&sortType=D&sortPriority=&openStore=true&userId= HTTP/1.1" 200 5255
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:14 +0900] "GET /dealight/waitcnt/105 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:14 +0900] "GET /dealight/waitcnt/104 HTTP/1.1" 200 11
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:14 +0900] "GET /display?fileName=storeImgs/2021/01/02/bf25e1d2-987e-4315-8aa8-0bebb2635595_%E1%84%8B%E1%85%A2%E1%84%89%E1%85%B2%E1%86%AF%E1%84%85%E1%85%B51.jpeg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:14 +0900] "GET /display?fileName=storeImgs/2021/01/02/b47c18ef-49c6-4b60-86cc-0f22faa4dd91_%E1%84%89%E1%85%B3%E1%84%89%E1%85%B51.jpg HTTP/1.1" 200 -
0:0:0:0:0:0:0:1 - - [03/Jan/2021:12:27:14 +0900] "GET /display?fileName=storeImgs/2020/12/30/823538be-02b5-413c-a961-dd965e781a2c_%EC%96%91%EC%97%B0%ED%99%94%EB%A1%9C_2.jpg HTTP/1.1" 200 61667
